ath_id,name,affiliation,did_comps,gender,birthyear
1,Andreas HOFMANN,Deutscher Alpenverein,True,M,<NA>
2,Andreas BINDHAMMER,Allgäu-Kempten,True,M,1973
3,Alexander ADLER,Deutscher Alpenverein,True,M,1968
4,Arno DIMMLER,Deutscher Alpenverein,True,M,1967
5,Bassa MAWEM,,True,M,<NA>
6,Andreas PFANNER,,True,M,<NA>
7,Benedikt HAAGER,München-Oberland,True,M,1977
8,Bernhard THUM,Deutscher Alpenverein,True,M,<NA>
9,Bernhard WOLF,Deutscher Alpenverein,True,M,<NA>
10,Christian BINDHAMMER,Allgäu-Kempten,True,M,1976
11,Christoph BUCHER,Deutscher Alpenverein,True,M,1969
12,Christoph DRIEVER,Deutscher Alpenverein,True,M,<NA>
13,Christoph FINKEL,Allgäu-Immenstadt,True,M,1971
14,Christian HÜMMER,Deutscher Alpenverein,True,M,<NA>
15,Csaba KOMONDI,,True,M,<NA>
16,Christian SCHLESENER,Deutscher Alpenverein,True,M,1967
17,Enrico SANGANAS,München-Oberland,True,M,<NA>
18,Frank CHRISTOPH,Deutscher Alpenverein,True,M,<NA>
19,Florian HAGE,Berchtesgaden,True,M,1974
20,Gregor JAEGER,Deutscher Alpenverein,True,M,<NA>
21,Guido KÖSTERMEYER,Deutscher Alpenverein,True,M,1968
22,Hans-Jürgen CRON,Landesverband Rheinland-Pfalz des DAV e.V.,True,M,1963
23,Ingo GRÄBNER,Erlangen,True,M,1971
24,Jörg ANDREAS,Sächsischer Bergsteigerbund,True,M,1977
25,Jakob DRÖMMER,Deutscher Alpenverein,True,M,<NA>
26,Jürgen REIS,,True,M,<NA>
27,Klaus BÜCHELE,Deutscher Alpenverein,True,M,1965
28,Markus BOCK,Deutscher Alpenverein,True,M,1979
29,Markus BUCHWALD,Deutscher Alpenverein,True,M,1972
30,Markus DORFLEITNER,Deutscher Alpenverein,True,M,1971
31,Jörn BEILKE,Deutscher Alpenverein,True,M,<NA>
32,Martin HÄUSLER,Ansbach,True,M,1983
33,Michael SCHLOTTER,Bamberg,True,M,1963
34,Markus ZÖLL,Rheinland-Köln,True,M,1968
35,Peter GSCHWENDTNER,Deutscher Alpenverein,True,M,<NA>
36,Robert MATE,Darmstadt-Starkenburg,True,M,1978
37,Sebastian BUCHWIESER,Deutscher Alpenverein,True,M,<NA>
38,Stefan GLOWACZ,Deutscher Alpenverein,True,M,1965
39,Sascha FLOHE,Deutscher Alpenverein,True,M,<NA>
40,Stephan HILGERS,Deutscher Alpenverein,True,M,1968
41,Thomas FICKERT,Deutscher Alpenverein,True,M,<NA>
42,Thomas HUBER,Deutscher Alpenverein,True,M,<NA>
43,Tino KOHBACH,Deutscher Alpenverein,True,M,1974
44,Timo LAUTENSCHLÄGER,Darmstadt-Starkenburg,True,M,1978
45,Thorsten NEUHAUS,Wuppertal,True,M,1974
46,Ulf KÜHN,Deutscher Alpenverein,True,M,<NA>
