ath_id,name,affiliation,did_comps,gender,birthyear
1,Arno DIMMLER,GER,True,M,1967
2,Maxi KLAUS,GER,True,M,1972
3,Markus ZÖLL,GER,True,M,1968
4,Udo NEUMANN,GRE,False,,1963
5,Philipp HROZEK,GER,True,M,1982
6,Thomas MEIER,GER,True,M,1959
7,Martin SCHLAGETER,GER,False,,1966
8,Christopher SMOLKOVIC,GER,False,,1985
9,Philipp ABELS,GER,False,,1986
10,Ludwig KORB,GER,False,,1966
11,Andreas ENGELHARD,GER,True,M,1963
12,Michael FÜCHSLE,GER,True,M,1966
13,Friederike KOPS,GER,False,,1983
14,Korbinian FRANCK,GER,True,M,1989
15,Christoph REICHERT,GER,False,,1974
16,Marcel RICHTER,GER,True,M,1988
17,Friederike TAUTZ,GER,True,F,1992
18,Matthias KELLER,GER,False,,1973
19,Benjamin BOSCHERT,GER,False,,1985
20,Dominik HLAWNA,GER,False,,1992
21,Florian SINGER,GER,True,M,1998
22,Urs STÖCKER,GER,False,,1976
23,Sebastian DEPKE,GER,True,M,1985
24,Kevin BARTKE,GER,True,M,1985
25,Moritz NEUBAUER,GER,False,,1979
26,Mariana FÜTTERER,GER,False,,1986
27,Nicholas PERRETH,GER,True,M,1984
28,Jacqueline FRITZ,GER,True,F,1985
29,Martin VEITH,GER,False,,1982
30,Alexei KOZLOV,RUS,True,M,<NA>
31,Alexandre MINAEV,RUS,True,M,1968
32,Alexei SHALYGIN,RUS,True,M,<NA>
33,Alexander SISINTSEV,RUS,True,M,1971
35,Boris INOZEMZEV,RUS,False,,1967
36,Dmitrii BYCHKOV,RUS,True,M,1978
37,Jury KRASILNIKOV,RUS,True,M,<NA>
38,Vladimir NETSVETAEV-DOLGALEV,RUS,True,M,1970
39,Mayya PIRATINSKAYA,RUS,True,F,1977
40,Natalia TITOVA,RUS,True,F,1978
41,Olga BIBIK,RUS,True,F,1976
42,Tatiana RUYGA,RUS,True,F,1978
43,Yulia ABRAMCHUK,RUS,True,F,1982
44,Olga IAKOVLEVA,RUS,True,F,1983
45,Valentina YURINA,RUS,True,F,1985
46,Anna STENKOVAYA,RUS,True,F,1984
47,Vasily KOZLOV,RUS,True,M,1987
48,Sergei SINITCYN,RUS,True,M,1983
49,Evgeniia MALAMID,RUS,True,F,1987
50,Tatiana SHEMULINKINA ,RUS,True,F,1987
51,Alexander KOSTERIN,RUS,True,M,1986
52,Alexander PESHEKHONOV,RUS,True,M,1979
53,Dmitrii SHARAFUTDINOV,RUS,True,M,1986
54,Anatoly SKRIPOV,RUS,True,M,1987
55,Ekaterina KIPRIIANOVA,RUS,True,F,1989
56,Evgenii VAITSEKHOVSKII,RUS,True,M,1986
57,Stanislav LOBZOV,RUS,True,M,1984
58,Yana CHERESHNEVA,RUS,True,F,1989
59,Alexander STEPANOV,RUS,True,M,1990
60,Rustam GELMANOV,RUS,True,M,1987
61,Mikhail CHERNIKOV,RUS,True,M,1985
62,Alina GAIDAMAKINA,RUS,True,F,1990
63,Kseniya POLEKHINA,RUS,True,F,1990
64,Sergey ABDRAKHMANOV,RUS,True,M,1990
65,Evgenii ZAZULIN,RUS,True,M,1991
66,Arman TER-MINASYAN,RUS,True,M,1992
67,Vadim TIMONOV,RUS,True,M,1992
68,Dinara FAKHRITDINOVA,RUS,True,F,1992
69,Aleksei SHCHERVIANIN,RUS,True,M,1988
70,Anna ZAIKINA,RUS,True,F,1993
71,Galina TERENTEVA,RUS,True,F,1989
72,Yury NOVITSKIY,RUS,True,M,1988
73,Anna TSYGANOVA,RUS,True,F,1993
74,Stanislav KOKORIN,RUS,True,M,1990
75,Ekaterina NOVITSKAIA,RUS,True,F,1992
76,Artem SAVELYEV,RUS,True,M,1994
77,Nataliia STEPANOVA,RUS,True,F,1993
78,Nikita SUYUSHKIN,RUS,True,M,1994
79,Aleksey RUBTSOV,RUS,True,M,1988
80,Mikhail KOCHETKOV ,RUS,True,M,1983
81,Yuliya LEVOCHKINA ,RUS,True,F,1990
82,Mariia KRASAVINA,RUS,True,F,1990
83,Georgy DERKACHEV,RUS,True,M,1991
84,Evgenii KALASHNIKOV ,RUS,True,M,1992
85,Sergei LUZHETSKII,RUS,True,M,1995
86,Arsenii SHEVCHENKO,RUS,True,M,1990
87,Irina KUZMENKO,RUS,True,F,1995
88,Vsevolod ILINYKH,RUS,True,M,1993
89,Sergei SKORODUMOV,RUS,True,M,1996
90,Artem PETRAKOV,RUS,True,M,1991
91,Anna MARGOLINA,RUS,True,F,1996
92,Georgy ARTAMONOV ,RUS,True,M,1996
93,Dmitrii FAKIRIANOV,RUS,True,M,1994
94,Anastasiia GOLIKOVA,RUS,True,F,1997
95,Yury TAKZHANOV,RUS,True,M,1987
96,Egor KRYACHKOV,RUS,True,M,1996
97,Daria MALYSHEVA,RUS,True,F,1996
98,Vladislav DEULIN,RUS,True,M,1994
99,Evgeniya LAPSHINA,RUS,True,F,1997
100,Dana GILEMKHANOVA,RUS,True,F,1996
101,Roman KOSTIAKOV,RUS,True,M,1975
102,Mikhail SAPAROV,RUS,True,M,1970
103,Sergei BYDTAEV,RUS,True,M,1997
104,Anna EMETS,RUS,True,F,1996
105,Dmitrii TIMOFEEV,RUS,True,M,1993
106,Artem KHABIBULLIN,RUS,True,M,1993
107,Danil ZAKIROV,RUS,True,M,1997
108,Ruslan FAIZULLIN,RUS,True,M,1996
109,Aleksandr SHIKOV,RUS,True,M,1997
110,Iuliia KAPLINA,RUS,True,F,1993
111,Maksim DIACHKOV,RUS,True,M,1997
112,Daria KAN,RUS,True,F,1998
113,Vadim MALSHCHUKOV,RUS,True,M,1998
114,Anastasia MANUYLOVA,RUS,True,F,1998
115,Mariia MUSIENKO,RUS,True,F,1998
116,Vladislav MYZNIKOV,RUS,True,M,1998
117,Elena TIMOFEEVA,RUS,True,F,1996
118,Iuliia PANTELEEVA,RUS,True,F,1998
119,Svetlana MOTOVILOVA,RUS,True,F,1996
120,Lev RUDATSKIY,RUS,True,M,1998
121,Anton SVIRIDOV,RUS,True,M,1998
122,Vlas GAVRILOV,RUS,True,M,1989
123,Sergei SERGEEV,RUS,False,,1956
124,Arseniy KUPCHIK,RUS,True,M,1994
125,Alexander PIRATINSKIY,RUS,False,,1944
126,Liubov STEPANOVA,RUS,False,,1966
127,Olga KUSHCH,RUS,True,F,1996
128,Valentina ANTONENKO,RUS,True,F,1999
129,Elizaveta IVANOVA,RUS,True,F,1999
130,Pavel KALUGIN,RUS,True,M,1998
131,Valeriia DERIABINA,RUS,True,F,1998
132,Fedor TRUKHANOV,RUS,True,M,1998
133,Sergey SIGOV,RUS,False,,1957
134,Yury SKURLATOV,RUS,False,,1941
135,Armen TER-MINASIAN,RUS,False,,1962
136,Liubov ZAKHAROVA,RUS,False,,1961
137,Ekaterina BARASHCHUK,RUS,True,F,1999
138,Nikolai MICHUROV,RUS,True,M,2000
139,Daniil KORNIETCKII,RUS,True,M,1999
140,Ilia POPOV,RUS,True,M,1999
141,Irina VARIK,RUS,True,F,2000
142,Konstantin GORLENKO,RUS,True,M,1999
143,Petr ZEMLIAKOV,RUS,True,M,2000
144,Elena KRASOVSKAIA,RUS,True,F,2000
145,Denis DIACHKOV,RUS,True,M,2000
146,Arsenii BOGOMOLOV,RUS,True,M,1995
147,Viktoriia MESHKOVA,RUS,True,F,2000
148,Luiza EMELEVA,RUS,True,F,2000
149,Aleksei CHERTOV ,RUS,False,,1958
150,Larisa BYCHKOVSKAYA,RUS,False,,1960
151,Andrei SUSHKOV,RUS,False,,1984
152,Ilia SITKIN,RUS,True,M,2000
153,Timur YAMALIEV,RUS,True,M,2000
154,Aleksandr SHILOV,RUS,True,M,1994
155,Svetlana CHISTIAKOVA,RUS,False,,1972
156,Yuri STAROVOYTOV,RUS,True,M,1996
157,Karina GAREEVA,RUS,True,F,2001
158,Polina GOREVA,RUS,True,F,2001
159,Roman BOZHKO,RUS,True,M,2001
160,Daniil SHIRIAEV,RUS,True,M,2000
161,Oleg BUSHIN,RUS,True,M,2001
162,Igor BARSKII,RUS,True,M,1997
163,Elena PAUKOVA,RUS,True,F,1997
164,Aleksei IAKUSHEV,RUS,True,M,2000
165,Nikolai IARILOVETS,RUS,True,M,1999
166,Mariia YURINA,RUS,True,F,2000
167,Georgii MOROZOV ,RUS,True,M,2000
168,Darina GALAGANOVA,RUS,True,F,2001
169,Maria SARSADSKIKH,RUS,True,F,1997
170,Grigorii PESTOV,RUS,True,M,2000
171,Irina SABITOVA,RUS,True,F,1998
172,Vladislav SHEVCHENKO,RUS,True,M,1998
173,Semen OVCHINNIKOV,RUS,True,M,2002
174,Sofiia KESSEL,RUS,True,F,2002
175,Polina KULAGINA,RUS,True,F,2002
176,Daria FURMANOVA,RUS,True,F,2002
177,Daria VERETENINA,RUS,True,F,2001
178,Elizaveta TROKINA,RUS,True,F,2002
179,Violetta CHERNYKH,RUS,True,F,2001
180,Oleg ANTONOV,RUS,True,M,1997
181,Polina AKSENOVA,RUS,True,F,2001
182,Dmitry GOLOV,RUS,True,M,1999
183,Veronika VOLKOVA,RUS,False,,1987
184,Elizaveta LAPENKOVA,RUS,True,F,1998
185,Dmitrii POPOV,RUS,True,M,1997
186,Vera MALAMID,RUS,False,,1951
187,Timofei KARPOV,RUS,True,M,2002
188,Andrei SMYK,RUS,True,M,2001
189,Ilia DANILIN,RUS,True,M,2001
190,Milena VOLOCHKO,RUS,True,F,2001
191,Anastasiia EVGENEVA,RUS,True,F,2001
192,Igor BOBRENEV,RUS,True,M,2002
193,Kseniia PROKOFEVA,RUS,True,F,1999
194,Daria KUZNETSOVA,RUS,True,F,2001
195,Almaz NAGAEV,RUS,True,M,2001
196,Anton KULBA,RUS,True,M,2002
197,Elena REMIZOVA,RUS,True,F,2000
198,Sergei RUKIN,RUS,True,M,2000
199,Valeriia SLOBODCHIKOVA,RUS,True,F,2002
200,Danil OGORODNIKOV,RUS,True,M,2001
201,Daria LEZHNINA,RUS,True,F,1997
202,Polina LUKASHEVA,RUS,False,,2002
203,Galina KUZMINA,RUS,False,,1945
204,Viacheslav VOLKOV,RUS,True,M,2002
205,Vladislav TERLEEV,RUS,True,M,2000
206,Oleg PEYSAKHOVICH,RUS,True,M,1997
207,Elizaveta GOFMAN,RUS,True,F,2003
208,Kirill IUDIN,RUS,True,M,2002
209,Serafima SUBBOTINA,RUS,True,F,2002
210,Egor DULUB,RUS,True,M,2000
